번호,상태,기업정보,채용기간,업데이트일,채용공고명,분야,직무,경력조건,자격요건
3015,마감,다날,~ 2023-03-27,2023-01-31,다날핀테크 전략기획팀 경력/신입사원 모집,간편결제/간편송금,"기획/마케팅,기타","신입,경력",ㆍ가상자산/블록체인 시장에 대한 지식 *시장 조사 및 데이터 분석 스킬 ㆍ적극적이고 능동적인 태도 ㆍ기본적인 문서 작업 스킬
3014,마감,,~ 2023-02-10,2023-01-31,[헥토파이낸셜] 인바운드 영업 담당자 모집,"간편결제/간편송금,소액해외송금",기타,"신입,경력",원활한 커뮤니케이션 가능하신 분 ㆍ상냥하고 서비스 마인드를 갖추신 분 ㆍ진취적이고 적극적인 자세를 갖추신 분 ㆍ기본적인 오피스 툴 사용 능력 보유하신 분
3013,마감,,~ 2023-02-18,2023-01-31,[헥토파이낸셜] 금융VAN 백엔드 개발 및 운영 담당자,"간편결제/간편송금,소액해외송금",백엔드 개발,"신입,경력",[필수사항] ㆍ경력 : 신입 ~ 5년 ㆍ학력 : 초대졸(2년) 이상 ㆍC언어 프로그램 개발 가능자 ㆍ열심히 하고자 하는 의지가 있는 자
3012,마감,,~ 2023-02-10,2023-01-31,[헥토파이낸셜] 금융/핀테크 영업 담당자 모집,"간편결제/간편송금,소액해외송금",기타,"신입,경력",ㆍ경력 : 신입 또는 3년 이상 ㆍ학력 : 대졸(4년) 이상 ㆍ문서작업 능력 (중상급) ㆍ당사 내규에 의거 결격사유가 없는 분
3011,마감,,~ 2023-03-02,2023-01-31,[헥토파이낸셜] 결제 서비스 기획 신입 담당자 모집,"간편결제/간편송금,소액해외송금",기획/마케팅,경력,ㆍ경력 : 신입 ㆍ학력 : 무관
3010,마감,핀샷,~ 2023-02-05,2023-01-31,[핀테크/금융] 경영지원 / 인사 / 행정 / 총무 / 경영기획(사무),간편결제/간편송금,기타,> - 각종 문서 및 자료 작성에 어려움 없으신 분 - 필요한 지식을 습득하고 문제를 해결하는 역량을 보유하신 분 - 다양한 이해관계자와 원활한 커뮤니케이션이 가능하신 분,
3009,마감,핀샷,~ 2023-02-05,2023-01-31,[핀테크] Web / ReactNative 개발자 모집,간편결제/간편송금,백엔드 개발,경력,Spring framework HTML JSP CSS javascript & JQuery & Ajax DB : PostgreSQL
3008,마감,핀샷,~ 2023-02-05,2023-01-31,[핀테크] 금융 마케팅 기획 전 부문 ( 외국인 가능 ),간편결제/간편송금,기획/마케팅,"신입,경력","국내거주외국인(근로자,학생)대상마케팅 해외로간 유학생(한국인) 대상 마케팅 SNS, 블로그 마케팅 서포터즈 운영 온라인/ 오프라인 마케팅"
3007,마감,핀샷,~ 2023-02-05,2023-01-31,[핀테크] 금융디자인팀 디자이너 (편집디자인 / 이미지디자인),간편결제/간편송금,퍼블리싱/디자인(UI/UX),"신입,경력",Adobe Photoshop Adobe Illustrator 능숙자 및 원활한 커뮤니케이션 능력 Adobe After Effects 필수 해당직무 경험자
3006,마감,주식회사 미르니,2022-01-17 ~ 2023-03-31,2023-01-20,블록체인 스타트업에서 경영지원을 모십니다.,블록체인,기타,신입,문서작업
3005,마감,엑심베이,~ 2023-01-31,2023-01-16,DBA 담당자 경력,간편결제/간편송금,빅데이터/AI,경력,"Linux OS 운영 가능 및 서버, 스토리지에 대한 지식 보유자"
3004,마감,엑심베이,~ 2023-01-31,2023-01-16,네트워크 운영 담당,간편결제/간편송금,네트워크/서버/보안,경력,"Fortinet Firewall, Cisco Swithc, Router, Radware L4 운영 경험자"
3003,마감,엑심베이,~ 2023-01-31,2023-01-16,Cloud Engineer 경력 채용,간편결제/간편송금,네트워크/서버/보안,경력,"시스템 엔지니어 5년(Cloud Engineer 2년) 이상 경력이 있으신 분 • Linux, Network에 대한 지식이 있으신 분"
3002,마감,엑심베이,~ 2023-01-31,2023-01-16,JAVA C# 개발자 신입/경력,간편결제/간편송금,네트워크/서버/보안,"신입,경력","DB에 대한 이해가 있으며, JPA등 framework 진행 가능한 분"
3001,마감,엑심베이,~ 2023-01-31,2023-01-16,데이터 분석가 신입/경력 채용,간편결제/간편송금,빅데이터/AI,"신입,경력",데이터 분석에 대한 경험이 있으신 분 • DB에 대한 이해와 SQL을 다룰 수 있으신 분
