번호,상태,기업정보,채용기간,업데이트일,채용공고명,분야,직무,경력조건,자격요건
5073,진행중,씽크풀,~ 2025-02-21,2025-02-04,단순 업무보조 및 CS업무,AI(RPA),기타,"신입,경력무관",무관
5072,진행중,씽크풀,~ 2025-02-14,2025-02-04,증권 데이터 수집 및 콘텐츠 개발자 모집,AI(RPA),백엔드 개발,"신입,경력무관","파이썬, GIT 활용가능, 오라클 SQL 활용가능"
5071,진행중,씽크풀,~ 2025-02-15,2025-02-04,"증권 챗봇 콘텐츠 운영 및 개발자 모집 (계약직, 프리랜서)",AI(RPA),백엔드 개발,경력,"파이썬, git 활용 가능, 오라클 SQL 활용 가능"
5070,진행중,씽크풀,~ 2025-03-05,2025-02-04,앱 서비스 운영 기획 (신입) 열정있는 신입 대환영,AI(RPA),기획/마케팅,"신입,경력무관","경력무관, 신입 지원 가능"
5069,진행중,시루정보,~ 2025-02-14,2025-02-04,기획/안드로이드개발/시스템운영/java개발/사업관리 PMO 모집,금융 소프트웨어,"백엔드 개발,네트워크/서버/보안,기획/마케팅",경력,각 부문별 상이
5068,진행중,스마트캐스트,~ 2025-02-21,2025-02-04,(주) 스마트캐스트 영업본부 경력자 모집,기타,기타,경력무관,"해당직무 근무 경험, 운전가능자"
5067,진행중,스마트캐스트,~ 2025-02-14,2025-02-04,(주) 스카트캐스트 CS 센터 사원 모집 (주말 재택 근무),기타,기타,"신입,경력무관","주도적이고 능동적인 업무 처리, 능숙한 컴퓨터 사용"
5066,진행중,소테리아,~ 2025-02-17,2025-02-04,인사/총무 경력 채용,기타,기타,경력,"관련분야 자격증 보유자, 법률과 인사 규정 이해도가 높은 분"
5065,진행중,소테리아,~ 2025-02-11,2025-02-04,프론트엔드 디자인 엔지니어,기타,프론트엔드 개발,경력,"Fullchip Inntegration, Fullchip Test plan 설계 및 벡터 운영 등"
5064,진행중,소테리아,~ 2025-02-13,2025-02-04,프론트엔드 디자인 (데이터),기타,프론트엔드 개발,경력,"RTL design and verification (Verilog, VHDL)"
5063,진행중,소테리아,~ 2025-02-13,2025-02-04,프론트엔드 디자인 (AI),"AI(RPA),기타",프론트엔드 개발,경력,"RTL design and verification (Verilog, VHDL)"
5062,진행중,소테리아,~ 2025-02-11,2025-02-03,S/W 개발 엔지니어 채용,기타,네트워크/서버/보안,경력,Firmware/Linux/RTOS 개발 경력등
5061,마감,소테리아,~ 2025-02-07,2025-02-03,SoC 개발 실무 (5~9년),기타,네트워크/서버/보안,경력,ARM Core 사용 경험 보유
5060,진행중,센트비,~ 2025-02-26,2025-02-03,CX Manager (KR),소액해외송금,기타,신입,고객 상담 경험 또는 유관 경험이 있으신 분 (신입 지원 가능)
5059,진행중,(주)센스톤,~ 2025-02-13,2025-02-03,보안솔루션 사업기획 & 영업 (과장급) 채용,금융 소프트웨어,네트워크/서버/보안,경력,사업 기획부터 실행까지 전반적인 경험이 있으신 분
5058,마감,센디,~ 2025-02-03,2025-01-24,센디와 함께 할 차주 서비스 운영매니저를 모십니다. (오후 운영),금융 소프트웨어,기타,"신입,경력무관",다양한 아이디어를 제안하는
5057,진행중,센디,~ 2025-02-22,2025-01-24,센디와 함께 할 어카운트 매니저를 모십니다.,금융 소프트웨어,기타,"신입,경력무관",공격적인 목표 달성 경험 또는 성과 중심 업무 경험이 있는
5056,진행중,헥토데이터,~ 2025-02-22,2025-01-24,[헥토데이터] 셀픽 I/B 영업,금융 소프트웨어,기타,경력,"스크래핑, 데이터, 클라우드 컴퓨팅 등 IT 기술에 대한 기본적인 이해 등"
5055,마감,(주)헥토파이낸셜,~ 2025-02-05,2025-01-24,[헥토파이낸셜] 법무팀 변호사/비변호사 모집 (증원 채용),간편결제/간편송금,기타,경력,법대 졸업 및 법학관련 30학점 이상 이수 또는 법무 유관 업무 경험자
5054,마감,(주)헥토파이낸셜,~ 2025-02-06,2025-01-24,[헥토파이낸셜] 간편결제 기획 (팀장급),간편결제/간편송금,기획/마케팅,경력,핀테크사 또는 커머스사의 간편결제 등 실무 경력 8년 이상
5053,마감,(주)헥토파이낸셜,~ 2025-02-02,2025-01-24,[헥토파이낸셜] 금융서비스 담당자,간편결제/간편송금,네트워크/서버/보안,"신입,경력",신입 ~ 경력6년 이하
5052,마감,(주)헥토파이낸셜,~ 2025-02-07,2025-01-24,[헥토파이낸셜] 재무회계 담당자,간편결제/간편송금,기타,경력,"재무회계, 재무기획 업무 경력, 상장사 or 대형비상장사 근무 경험자"
5051,진행중,(주)헥토파이낸셜,~ 2025-02-09,2025-01-24,[헥토파이낸셜] 공공기관 영업 담당자,간편결제/간편송금,기타,"신입,경력무관",영업 직무에 대한 태도 및 마인드를 갖추신 분
5050,진행중,빗썸코리아,~ 2025-02-11,2025-01-21,스테이킹 서비스 개발 (주니어),가상자산 교환·중개,백엔드 개발,경력,"Bitcoin, Ethereum 등 블록체인 관련 기술을 이해하시는 분"
5049,진행중,빗썸코리아,~ 2025-02-11,2025-01-21,CERT 경력 채용,가상자산 교환·중개,네트워크/서버/보안,경력,정보보호 실무 경력이 10년 이상이신 분 • CERT 실무 경력이 6년 이상이신 분
5048,진행중,빗썸코리아,~ 2025-02-11,2025-01-21,블록체인 클라우드 엔지니어 (주니어),가상자산 교환·중개,네트워크/서버/보안,경력,클라우드 환경(AWS 등) 시스템 구축 및 운영 경험이 1년 이상 있으신 분
5047,마감,빗썸코리아,~ 2025-02-03,2025-01-21,"규제대응 (AML, FDS 등) 시스템 B/E 개발자",가상자산 교환·중개,백엔드 개발,경력,JAVA 언어로 Spring Boot를 활용한 서비스 구축/운영 경력 3년 이상이신 분
5046,진행중,빗썸코리아,~ 2025-02-11,2025-01-21,블록체인 기술 개발 (주니어),가상자산 교환·중개,백엔드 개발,경력,하나 이상의 프로그래밍 언어를 이용하여 서비스를 개발한 경험이 있으신 분
5045,마감,빗썸코리아,~ 2025-02-03,2025-01-21,Back-End - 컴플라이언스 시스템 개발 (3년 이상),가상자산 교환·중개,백엔드 개발,경력,Java 언어로 Spring Boot를 활용한 서비스 구축 및 운영 경력을 3년 이상 보유하신 분
5044,마감,빗썸코리아,~ 2025-01-26,2025-01-21,AWS Cloud DBA,가상자산 교환·중개,빅데이터/AI,경력,• AWS RDS/AURORA MYSQL 설치/구성/운영 경력이 7년 이상이신 분
5043,진행중,빗썸코리아,~ 2025-02-11,2025-01-21,블록체인 서비스 개발 (주니어),가상자산 교환·중개,백엔드 개발,경력,"Java, Spring 기반의 서비스 개발 및 운영 경험이 있으신 분"
5042,마감,빗썸코리아,~ 2025-02-03,2025-01-21,Back-End - 거래소 서비스 개발 (3년 이상),가상자산 교환·중개,백엔드 개발,경력,최소 하나 이상의 프로그래밍 언어를 사용하여 실제 고객에게 서비스 되는 프로젝트에 참여한 경험이 있으신 분
5041,진행중,보난자팩토리,~ 2025-02-19,2025-01-21,"(주) 보난자팩토리 글로벌사업본부 PM 기획, 사업관리 담당 채용",보안/인증,기획/마케팅,경력,"서비스 기획 및 출시, 운영 1 Cycle이상 경험자"
5040,마감,보난자팩토리,~ 2025-01-30,2025-01-21,(주)보난자팩토리 인사총무 경력사원 모,보안/인증,기타,경력,실무 및 관 업무 경험 있으신 분
5039,진행중,주식회사 모인,~ 2025-02-28,2025-01-20,[모인] 고객 운영 매니저 (주간)_상시채,소액해외송금,기타,"신입,경력무관",고객과의 대화에서 문제의 핵심을 찾고 해결하는 과정이 즐거운 분
5038,마감,매드업,~ 2025-01-31,2025-01-20,[테크사업부] 백엔드개발자 - 테크리드 채용,금융 소프트웨어,백엔드 개발,경력,"8년이상의 엔지니어링 실무경험, 기술리더 혹은 매니저 역학 3년 이상 수행하신 분"
5037,마감,매드업,~ 2025-01-31,2025-01-20,[테크사업부] 백엔드 개발자 채용,금융 소프트웨어,백엔드 개발,경력,"Python, Java, C, C++ 등 하나 이상의 개발 언어로 백엔드 개발이 가능하신 분"
5036,마감,매드업,~ 2025-02-02,2025-01-20,[테크사업부] SRE 채용,금융 소프트웨어,네트워크/서버/보안,경력,AWS 인프라 구성 및 운영 관련 경력 2년 이상이신
5035,마감,마이뱅크주식회사,~ 2025-01-31,2025-01-20,일본 핀테크 스타트업을 주도적으로 끌고 가실 분을 채용합니다.,개인자산관리,기획/마케팅,"신입,경력무관",일본인 또는 원어민 수준의 일본어를 구사하시는 분
5034,마감,마이뱅크주식회사,~ 2025-01-31,2025-01-20,글로벌 전략/사업개발을 주도하실 분,개인자산관리,기획/마케팅,"신입,경력무관",글로벌 컨설팅펌 경력자 우대
5033,진행중,더페이,~ 2025-02-13,2025-01-20,JAVA DevOps 개발자 4년차 ~ 15년차,간편결제/간편송금,"백엔드 개발,프론트엔드 개발",경력,4년 이상의 Java개발 경험이 있으신 분 (Spring framework)
5032,진행중,다날,~ 2025-02-15,2025-01-20,다날 홍보/마케팅 총괄 경력 채욛,간편결제/간편송금,기획/마케팅,경력,언론 대응 및 기업 홍보 경험자 등
5031,진행중,다날,~ 2025-02-15,2025-01-20,다날 앱 기반 서비스 마케터 경력 채용 _ 채용시 마,간편결제/간편송금,기획/마케팅,경력,디지털 마케팅 및 퍼포먼스 마케팅 분야에서 다양한 경험을 보유하신 분
5030,마감,다날,~ 2025-02-07,2025-01-20,다날(주) 신사업 영업전략 전문가 채용,간편결제/간편송금,기획/마케팅,경력,"신사업기획, 사업개발, 투자유치 또는 재무분석 관련 7년이상 경험등"
5029,진행중,다날,~ 2025-02-13,2025-01-20,다날 선불/후불 결제서비스 경력 개발자 채용,간편결제/간편송금,"백엔드 개발,프론트엔드 개발",경력,"프론트엔드, 백엔드 각 경력 2년 이상의 개발 능력"
5028,진행중,다날,~ 2025-02-13,2025-01-20,다날 결제시스템 BE 개발 경력 채용,간편결제/간편송금,백엔드 개발,경력,"Java, 객체지향, Spring framework 를 잘 이해하고 활용 가능한 분"
5027,마감,다날,~ 2025-01-30,2025-01-20,다날(주) 결제시스템 서버개발자 증원 채용,간편결제/간편송금,네트워크/서버/보안,경력,"Java, 객체지향, Spring framework를 잘 이해하고 활용 가능한 분"
5026,진행중,다날,~ 2025-02-13,2025-01-20,다날 정보보호 담당 경력 채용,간편결제/간편송금,네트워크/서버/보안,경력,"전자금융거래법, 정보통신망법, 개인정보보호법에 대한 이해 등"
5025,마감,다날,~ 2025-01-31,2025-01-13,"다날 IT인프라 기획, 구축, 운영 관리 담당 경력 채용",간편결제/간편송금,네트워크/서버/보안,경력,"Linux/Windows/가상화 (VMware)/스토리지/백업 인프라 설계와 구축, 운영 경험을 보유하신 분"
5024,진행중,다날,~ 2025-02-11,2025-01-13,다날 결제 관련 서비스 개발 및 운영 부문 경력 채용,간편결제/간편송금,백엔드 개발,경력,"자바, MYSQL/MSSQL/PostgreSQL 사용 경험이 있으신 분"
5023,진행중,다날,~ 2025-02-10,2025-01-13,다날 DBA-데이터엔지니어링 부문 경력 채용,간편결제/간편송금,빅데이터/AI,경력,"EPAS(PostgreSQL), MSSQL, MySQL등 DB관련 업무경력 10년 이상 또는 그에 준하는 경력"
5022,마감,네이버페이,~ 2025-01-19,2025-01-13,[네이버페이] 혜택 서비스 BE 개발,간편결제/간편송금,백엔드 개발,경력,Spring 및 Java/Kotlin 개발 경험 3년 이상이신 분
5021,마감,네이버페이,~ 2025-01-19,2025-01-13,[네이버페이] 머신러닝 엔지니어 모집,간편결제/간편송금,빅데이터/AI,경력,"Python 기반의 ML/DL 프레임워크(PyTorch, TensorFlow, scikit-learn 등) 활용 및 모델 개발 경험을 보유하신 분"
5020,마감,네이버페이,~ 2025-01-19,2025-01-13,[네이버페이] 데이터 엔지니어 모집,간편결제/간편송금,빅데이터/AI,경력,"- Data Engineering 경험 3년 이상이신 분 - Hive ,spark, airflow , Docker, python, java 경험을 보유하신 분"
5019,마감,네이버페이,~ 2025-01-19,2025-01-13,[네이버페이] 월렛 서비스 BE 개발,간편결제/간편송금,백엔드 개발,경력,"mongodb, mysql 등 RDB 혹은 NoSQL DB 개발 경험을 보유하신 분"
5018,마감,네이버페이,~ 2025-01-19,2025-01-13,[네이버페이] 주문 서비스 BE개발,간편결제/간편송금,백엔드 개발,경력,Java/Kotlin 및 JVM 기반 프레임워크(Spring Boot 등) 사용 경험이 있으신 분
5017,마감,고스트패스,~ 2025-01-31,2025-01-13,IOS Native 앱 개발자 _ 상시 채용,보안/인증,모바일앱 개발,경력,4년재 이상 관련 대학 전공자 또는 3년 이상관련 개발 경력 소유자
5016,마감,고스트패스,~ 2025-01-31,2025-01-13,IOT 및 Backend 개발자 _상시채용,보안/인증,백엔드 개발,경력,관련 프로젝트 수행 경력 2년 이상
5015,마감,갤럭시아머니트리(주),~ 2025-01-31,2025-01-13,[효성계열사] 토큰증권 (STO) 상품기획 담당자 모집,가상자산 교환·중개,기획/마케팅,경력,"조각투자사업 기획, 금융상품 기획, 증권 발행, 자산운용 등 유관업무 경험자"
5014,마감,엔에이치엔케이씨피,~ 2025-01-31,2025-01-13,[NHN KCP] DBA 담당 경력사원 모집 (5년~9년차)_채용시 마감,간편결제/간편송금,네트워크/서버/보안,경력,Oracle RDBMS 운영 경력 (5년 이상 9년 이하) 을 보유하신
5013,마감,엔에이치엔케이씨피,~ 2025-01-31,2025-01-13,해외 가맹점 및 파트너사 영업 및 관리 담당자 모집 (대리급)_채용시 마감,간편결제/간편송금,기타,경력,해외사업 (영업) 관련하여 4년 이상의 경력을 보유하신 분
5012,마감,엔에이치엔케이씨피,~ 2025-01-31,2025-01-13,[NHN KCP] 프론트엔드 개발 담당 모집,간편결제/간편송금,프론트엔드 개발,경력,"nuxt js등의 서버사이드 랜더링 기법을 통한 개발 경험 보유, vue.js를 활용한 웹사이트 개발 경험, node.js를 활용한 실무 경험 보유하신 분"
5011,마감,엔에이치엔케이씨피,~ 2025-01-31,2025-01-13,[NHN KCP] 백업 시스템 관리 담당 모집 (10년 이하)_채용시 마감,간편결제/간편송금,네트워크/서버/보안,경력,백업 시스템 운영 또는 백업 시스템 기술지원 관련한 10년 이하 경력을 보유하신 분
5010,마감,엔에이치엔케이씨피,~ 2025-01-31,2025-01-13,[NHN KCP] 신규 플랫폼 서비스 운영 담당자 (사원/대리급)_ 채용시 마감,간편결제/간편송금,기타,경력,서비스 운영 관리 업무 경험을 보유하신 분
5009,진행중,아톤,~ 2025-02-28,2025-01-13,[아톤] 스마트기획 팀원 채용 _상시채용,보안/인증,기획/마케팅,경력,"개발프로세스 이해가 있으신 분, 개발 산출물 확인 가능하신 분"
5008,진행중,아톤,~ 2025-02-28,2025-01-13,[아톤] 해외사업개발 경력 채용 _상시채용,보안/인증,기획/마케팅,경력,영어 커뮤니케이션 상급자
5007,마감,아톤,~ 2025-01-31,2025-01-13,[아톤] 소프트웨어 개발자 인턴 채용 _채용시 마감,보안/인증,"백엔드 개발,프론트엔드 개발",신입,"긍적적인 마인드 소지자, 배우고자 하는 열정이 있는 자, 졸업한지 1년 이내 또는 졸업예정자"
5006,진행중,데일리펀딩,~ 2025-02-28,2025-01-13,[데일리펀딩] 신규사업 기획 및 운영 (경력) _ 상시 채용,P2P 대출/온라인대출,기획/마케팅,경력,사업 개발 및 제휴 경험이 3년 이상 이신 분
5005,진행중,데일리펀딩,~ 2025-02-28,2025-01-13,[데일리펀딩] 금융상품 운영 매니저 (신입),P2P 대출/온라인대출,기타,경력무관,커뮤니케이션 능력이 좋으신 분
5004,진행중,데일리펀딩,~ 2025-02-28,2025-01-13,[데일리펀딩] 금융 기관 세일즈 담당자_상시 채용,P2P 대출/온라인대출,기획/마케팅,"신입,경력",금융기관에서 서비스를 진행해보신 분
5003,진행중,주식회사 토리에듀핀,~ 2025-02-26,2025-01-13,풀스택 (React/Java Spring) 개발자 채용 - 서울시 마포구,기타,"백엔드 개발,프론트엔드 개발",경력,React/Next.js 프론트엔드 개발 경력 4년 이상
5002,마감,컬리페이,~ 2024-12-31,2024-12-06,[컬리] 핀테크 프론트엔드 개발자 (Frontend Developer)_채용시 마감,간편결제/간편송금,프론트엔드 개발,경력,"React, Angular, Vue 와 같은 SPA 프레임워크 기반 개발 3년 이상인 분"
5001,마감,주식회사 티웨이브,~ 2024-12-07,2024-12-06,동남아 OP (5년 이상 ~),금융 소프트웨어,기획/마케팅,경력,여행관련 직무 5년 ~ 10년 미만
5000,마감,주식회사 히릿소프트,~ 2024-12-16,2024-12-06,노코드 SaaS 메이더에서 UI/UX 디자이너를 찾습니다.,기타,퍼블리싱/디자인(UI/UX),경력,마켓플레이스 UI/UX 디자인 및 운영 경력이 있는 분
4999,마감,아이지넷,~ 2024-12-31,2024-12-03,[복지우수] 연구소 React Native Frontend 경력직 채용,인슈어테크,프론트엔드 개발,경력,"Frontend, BackEnd 등 IT 서비스 개발 경력 총 5년 이상 ~ 15년"
4998,마감,(주)하눌커뮤니케이션,~ 2024-12-20,2024-12-03,플루터&안드로이드 네이티브앱 개발자 모집,금융 소프트웨어,모바일앱 개발,경력,"Flutter, Android Native, REST API 운영 경험"
4997,마감,스냅태그 주식회사,~ 2024-12-31,2024-12-02,[스냅태그] 개발자 (백엔드/C++)채용공고 _상시채용,금융 소프트웨어,백엔드 개발,경력,"유관경력, 이미지 프로세싱 경험이 있으신 분"
4996,마감,스냅태그 주식회사,~ 2024-12-31,2024-12-02,[스냅태그] 사업팀 전략기획/서비스 운영 모집_상시 채용,금융 소프트웨어,기획/마케팅,경력,기획업무 경력 1년 이상 / IT 서비스 기업에서 2년 이상의 관련 경험 보유
4995,마감,스냅태그 주식회사,~ 2024-12-31,2024-12-02,[스냅태그] 개발자 (Flutter기반 윈도우 PC프로그램 개발) 채용_채용시 마감,금융 소프트웨어,백엔드 개발,경력무관,Flutter를 이용한 키오스크 윈도우 PC 프로그램 개발
4994,마감,주식회사 에잇퍼센트,~ 2024-12-13,2024-12-02,부동산 심사역 모집 공고,P2P 대출/온라인대출,기타,"신입,경력",온투업에 대한 기본적인 이해도 필요
4993,마감,(주)한국법률데이터,~ 2024-12-30,2024-12-02,(php 자바) 풀스택 개발자 모집,기타,"백엔드 개발,프론트엔드 개발",경력,"php 그누보드 개발 경력 필수, 다양한 개발 경력"
4992,마감,(주)한국법률데이터,~ 2024-12-28,2024-12-02,[한국법률데이터] 사무직 채용,기타,기타,경력무관,경력무관 (신입도 가능)
4991,마감,주식회사 펀블,~ 2024-12-31,2024-11-26,"프론트엔드 (주니어, 2년차 이상)_채용시 마감",기타,프론트엔드 개발,경력,프로젝트 및 컴포넌트 구조 설계 경험
4990,마감,주식회사 펀블,~ 2024-11-29,2024-11-26,브랜드 콘텐츠 마케터,기타,기획/마케팅,경력,"콘텐츠 제작 능력, 기획력 및 실행력, 데이터 분석 능력등"
4989,마감,주식회사 펀블,~ 2024-11-29,2024-11-26,"프론트엔드 (시니어, 5년차 이상)",금융 소프트웨어,프론트엔드 개발,경력,다수의 프로젝트 및 컴포넌트 구조 설계 경험 등
4988,마감,소프트랜더스 주식회사,~ 2024-12-06,2024-11-26,소프트랜더스 해외이동지원 서비스 운영/관리팀원 모집,기타,기타,경력무관,무관 (신입도 지원가능하나 관련업무 경력 보유시 우대)
4987,마감,주식회사 피플캣,~ 2025-01-04,2024-11-26,[TIPS 선발기업] (주) 피플캣 영업담당자 채용,금융 소프트웨어,기타,"신입,경력",책임감이 강하고 목표지향적인 분
4986,마감,주식회사 피플캣,~ 2024-12-05,2024-11-26,[TIPS 선발기업] (주)피플캣 그로스마케터 채용,금융 소프트웨어,기획/마케팅,"신입,경력","채널 별 전략, 예산을 직접 수립, 운영하고 성과를 내본 경험이 있는 분"
4985,마감,(주)센스톤,~ 2024-12-22,2024-11-26,마케팅홍보 주니어 채용,금융 소프트웨어,기획/마케팅,> 마케팅 홍보 유관직무 최소 1년 이상 경력을 보유하신 분,
4984,마감,(주)센스톤,~ 2024-12-22,2024-11-26,보안솔루션 사업기획 & 영업 리드 (차장급),금융 소프트웨어,기획/마케팅,경력,사업 기획부터 실행까지 전반적인 경험이 있으신 분
4983,마감,(주)인피니소프트,~ 2024-11-24,2024-11-18,이노페이에서 PG 영업의 미래를 열어갈 인재를 찾습니다.,기타,기타,경력무관,해외여행 결격 사유가 없는 분
4982,마감,(주)인피니소프트,~ 2024-11-30,2024-11-18,[강소기업] 이노페이 PG 시스템 및 전자금융/전자결제 API 개발자,간편결제/간편송금,네트워크/서버/보안,경력,경력 2년 이상 JAVA 경력자
4981,마감,(주)인피니그루,~ 2024-11-30,2024-11-18,보이스피싱 방지 서비스 앱 개발자 (안드로이드)_채용시 마감,기타,모바일앱 개발,경력,경력 4년 ~ 5년
4980,마감,와이즈케어,~ 2025-01-13,2024-11-18,"(주)와이즈케어,PG, VAN 소프트웨어 개발자 모집",간편결제/간편송금,백엔드 개발,경력,"Spring Boot 3~5년 이상, C# 또는 PHP 1년 이상 택 1"
4979,마감,스룩,~ 2024-11-17,2024-11-11,[스룩] 웹서비스 기획 경력 채용,간편결제/간편송금,기획/마케팅,경력,서비스 운영 및 신규 서비스 기획 경험하신 분
4978,마감,스룩,~ 2024-11-17,2024-11-11,[스룩] UIUX 디자이너 경력 채용,간편결제/간편송금,퍼블리싱/디자인(UI/UX),경력,웹서비스 디자인 5년차 이상
4977,마감,발트루스트,~ 2024-11-30,2024-11-11,[발트루스트] 자바 개발자 (5년 이상) 채용 _ 상시채용,금융 소프트웨어,백엔드 개발,경력,Spring Boot 및 Spring MVC를 활용한 웹 애플리케이션 설계 및 구현
4976,마감,포티투마루,~ 2024-12-20,2024-10-29,[포티투마루] AI 솔루션 및 서비스 기획 (경력 2년 이상),AI(RPA),기획/마케팅,경력,"Generative AI 및 LLM 서비스 기획 경험 (AI 기반 검색, 챗봇, B2C 서비스 등)"
4975,마감,포티투마루,~ 2024-11-13,2024-10-29,[포티투마루] LLM 프롬프트 엔지니어 (경력2년이상),AI(RPA),빅데이터/AI,경력,사람인 입사지원
4974,마감,투비콘,~ 2024-12-01,2024-10-29,UX/UI 관점의 프로덕트 디자이너 채용 (경력무관),인슈어테크,퍼블리싱/디자인(UI/UX),경력무관,경력무관
4973,마감,투비콘,~ 2024-11-20,2024-10-29,[투비콘] 웹 개발자 (ASP.NET.NET Core) 경력 채용,인슈어테크,백엔드 개발,경력,ASP. NET(C#) WebForm 개발 가능하신 분
4972,마감,크라우드웍스,~ 2024-11-29,2024-10-29,[크라우드웍스] AI 사업본부 AI Consultant,기타,빅데이터/AI,경력,"IT컨설팅, 전략 컨설팅 및 유관 경력 최소 3년 이상"
4971,마감,크라우드웍스,~ 2024-11-24,2024-10-29,[크라우드웍스] 서비스개발실 AI-Software Engineer (Senior),기타,백엔드 개발,경력,Python을 이용해서 자기가 살면서 가지고 있던 문제를 해결해본 경험
4970,마감,크라우드웍스,~ 2024-11-24,2024-10-29,[크라우드웍스] 이러닝팀 Software Engineer (full-stack),기타,"백엔드 개발,프론트엔드 개발",경력,경력 5년 이상 서비스 및 시스템 개발 경험
4969,마감,콴텍투자일임주식회사,~ 2024-11-06,2024-10-29,[콴텍투자일임] 플랫폼 B2B 세일즈 담당자 모집,개인자산관리,기타,경력,모두와 함께 화합 할 수 있는 외향적인 성격 보유자
4968,마감,콴텍투자일임주식회사,~ 2024-11-08,2024-10-29,[콴텍투자일임] Quant 풀랫폼 개발자 모집,개인자산관리,네트워크/서버/보안,"신입,경력",파이썬 및 관련 라이브러리 활용 능력
4967,마감,콴텍투자일임주식회사,~ 2024-11-22,2024-10-29,[콴텍투자일임] 금융 데이터베이스 엔지니어 모집,개인자산관리,빅데이터/AI,"신입,경력",금융 비즈니스에 대한 폭넓은 관심과 종합적인 사고 능력을 갖추신 분
4966,마감,스틸리언,~ 2024-11-30,2024-10-29,[병역특례 가능] 모의해킹 직무 담당자 - 사이버 보안 벤처기업_채용시 마감,보안/인증,네트워크/서버/보안,경력무관,1개이상의 프로그래밍 언어 사용이 가능하신 분 (ex. python등)
4965,마감,스틸리언,~ 2024-11-23,2024-10-29,프론트엔드 개발자,보안/인증,프론트엔드 개발,경력무관,서비스를 다양한 랜더링 방식으로 구현해 보신 분
4964,마감,스틸리언,~ 2024-11-23,2024-10-29,백엔드 개발자,보안/인증,백엔드 개발,경력무관,"다양한 RDBMS(MySQL, Postgre SQL등) 을 지원하는 서비스를 개발하여 배포해보신 분"
4963,마감,스틸리언,~ 2024-11-14,2024-10-29,사업 프로젝트 담당자 (보안사업팀)-사이버 보안 벤처기업,보안/인증,네트워크/서버/보안,경력무관,업무 간 원활한 커뮤니케이션이 가능하신 분
4962,마감,스틸리언,~ 2024-11-13,2024-10-29,"IT 본안 영업, 기술 영업, 프리 세일즈 - 사이버 보안 벤처기업",보안/인증,기타,경력무관,"상대의 의도를 잘 파악하고, 필요한 해결책을 제시할 수 있는 의사소통 능력"
4961,마감,(주)널리소프트,~ 2024-11-30,2024-10-29,[AI 세금신고 1위 SSEM] SSEM 세금 이론 연구 담당자 _채용시 마감,금융 소프트웨어,기타,경력무관,정량적 연구 및 데이터 분석에 능숙한 사람
4960,마감,(주)널리소프트,~ 2024-11-30,2024-10-29,IT 인프라 담당자 채용 (경력 5년 이상) [AI 세금신고 1위 SSEM],금융 소프트웨어,네트워크/서버/보안,경력,"대용량 트래픽을 위한 H/W, S/W 인프라 구성및 운영능력"
4959,마감,효성에프엠에스,~ 2024-11-09,2024-10-29,효성에프엠에스 개인정보보호 담당자 채용,간편결제/간편송금,기타,경력,경력 3년 ~ 7년
4958,마감,한패스,~ 2024-12-01,2024-10-28,[한패스(주) / 성장전략본부] 사업개발 Business Development,"간편결제/간편송금,소액해외송금",기획/마케팅,경력무관,영어의사소통 및 문서 작성을 위해 능숙한 영어/영작문/회와 실력 필
4957,마감,한패스,~ 2024-11-01,2024-10-28,[한패스 (주) PG 사업본부] 사업개발 BD 및 서비스 운영담당자,"간편결제/간편송금,소액해외송금",기획/마케팅,경력무관,영어필수 (원어민 수준)
4956,마감,한패스,~ 2024-10-31,2024-10-28,[한패스(주) / 플랫폼사업팀] 모빌리티서비스 담당자,"간편결제/간편송금,소액해외송금",기획/마케팅,경력,글로벌 시장에 대한 전문성과 이햐가 있으신 분
4955,마감,(주)핑거,~ 2024-11-06,2024-10-28,[핑거] 스크래핑 암호모듈 개발 경력자 채용 (경력 3년 이상),간편결제/간편송금,네트워크/서버/보안,경력,"Golang, PKI, javascript, Web 관련업무경력 3년 이상"
4954,마감,(주)핑거,~ 2024-11-24,2024-10-28,[핑거] Back-End 개발자 채용 (경력 7년 이상),간편결제/간편송금,백엔드 개발,경력,"- Java, Spring Boot, 웹 애플리케이션 보안 및 데이터 보안에 대한 이해"
4953,마감,핀크,~ 2024-11-14,2024-10-28,[하나금융그룹 자회사] 보안솔루션 서버개발자 (3년이상),간편결제/간편송금,네트워크/서버/보안,경력,Kotlin/Java/Python/Mode.js 등 서버 개발 및 유지보수 경험
4952,마감,핀크,~ 2024-11-14,2024-10-28,[하나금융그룹 자회사] Back-End 서버개발자 경력 (10년 이상),간편결제/간편송금,"백엔드 개발,네트워크/서버/보안",경력,서버 개발 경력 10년 이상
4951,마감,페이레터,~ 2024-11-05,2024-10-28,페이레터 (주) IT 헬프데스크 신입 모집 (정규직),간편결제/간편송금,기타,신입,전산자산관리에 경험 관심 있으신 분
4950,마감,페이레터,~ 2024-12-01,2024-10-28,페이레터 (주) 운영지원 신입/경력 모집,간편결제/간편송금,기타,경력무관,신입/유관경력 1년 이상
4949,마감,페이레터,~ 2024-11-18,2024-10-28,페이레터 (주) 결제데이터 분석 신입/경력 모집,AI(RPA),빅데이터/AI,"신입,경력",SQL을 활용한 raw-data 핸들링 역량을 갖추신 분
4948,마감,페이레터,~ 2024-11-19,2024-10-28,페이레터 (주) IT 시스템 운영 신입/경력 모집,간편결제/간편송금,네트워크/서버/보안,"신입,경력","서버, 네트워크, 소프트웨어 관리 능력"
