회사명,지역,직종
코너스톤파트너스디지털,서울 강남구,AI
베스텔라랩,경기 안양시,AI
베스텔라랩,경기 안양시,AI
베스텔라랩,경기 안양시,AI
베스텔라랩,경기 안양시,AI
베스텔라랩,경기 안양시,AI
오픈놀,서울 마포구,AI
에스투더블유(S2W),경기 성남시,AI
트릿지,서울 서초구,AI
메이아이,서울 강남구,AI
엘박스,서울 강남구,AI
알세미,서울 강남구,AI
알세미,서울 강남구,AI
알세미,서울 강남구,AI
휴런,서울 영등포구,AI
라이너(Liner),서울 마포구,AI
씨제이올리브영(CJ올리브영),서울 용산구,AI
에코앤리치,서울 성동구,AI
딥브레인에이아이,서울 강남구,AI
뱅크샐러드,서울 마포구,AI
하이퍼커넥트,서울 강남구,AI
한국딥러닝,서울 서초구,AI
한국딥러닝,서울 서초구,AI
한국딥러닝,서울 서초구,AI
메이크스타,서울 강남구,AI
미리비트,경기 성남시,AI
타이드풀(TIDEPOOL),경기 용인시,AI
아키스케치,서울 성동구,AI
씨제이올리브영(CJ올리브영),서울 용산구,AI
하이퍼커넥트,서울 강남구,AI
렉스소프트,서울 관악구,AI
데브시스터즈(Devsisters),서울 강남구,AI
데브시스터즈(Devsisters),서울 강남구,AI
여기어때컴퍼니,서울 강남구,AI
클로버추얼패션(CLOVirtualFashion),서울 강남구,AI
클로버추얼패션(CLOVirtualFashion),서울 강남구,AI
테이텀,서울 강남구,AI
니어브레인,서울 강남구,AI
딥노이드(Deepnoid),서울 구로구,AI
마키나락스,서울 서초구,AI
업스테이지,경기,AI
워트인텔리전스,서울 서초구,AI
보로노이,인천 연수구,AI
보로노이,인천 연수구,AI
보로노이,인천 연수구,AI
파인더스에이아이,서울 서초구,AI
파인더스에이아이,서울 서초구,AI
베슬에이아이(VESSL AI),서울 서초구,AI
위티,서울 종로구,AI
핵클(Hackle),서울 강남구,AI
웨이커,서울 강남구,AI
웨이커,서울 강남구,AI
슈페릭스,서울 강남구,AI
코드잇(codeit),서울 중구,AI
워프스페이스,서울 서초구,AI
럭스로보(LUXROBO),서울 강남구,AI
삼양식품,서울 성동구,AI
포디(FODI),서울 강남구,AI
피트크루,서울 성동구,AI
씨어스테크놀로지,경기 성남시,AI
티오리(Theori),서울 강남구,AI
플래티어,서울 송파구,AI
넛지헬스케어(캐시워크),서울 강남구,AI
인터엑스,서울 금천구,AI
서치라이트,서울 노원구,AI
텔레픽스,서울 영등포구,AI
제네시스랩,서울 중구,AI
더스윙,서울 용산구,AI
에이치비솔루션,충남 아산시,AI
클레,서울 성동구,AI
블루개러지(Blue Garage),서울 강동구,AI
위브,경기 성남시,AI
이마고웍스,서울 강남구,AI
채널코퍼레이션,서울 강남구,AI
채널코퍼레이션,서울 강남구,AI
레브잇,서울 관악구,AI
메디픽셀,서울 강남구,AI
메디픽셀,서울 강남구,AI
가우스랩스(Gauss Labs),서울 강남구,AI
핀다(FINDA),서울,AI
자비스앤빌런즈(삼쩜삼),서울 강남구,AI
자비스앤빌런즈(삼쩜삼),서울 강남구,AI
라이너(Liner),서울 마포구,AI
딥인사이트,경기 성남시,AI
하이퍼커넥트,서울 강남구,AI
에이엠시지(AMCGCo.Ltd.),서울 서초구,AI
플립션코리아,경기 성남시,AI
스누아이랩,경기 수원시,AI
이엘피,경기 화성시,AI
이엘피,경기 화성시,AI
이엘피,경기 화성시,AI
디오비스튜디오,서울 마포구,AI
바로팜,서울 강남구,AI
씨제이이엔엠(CJ ENM),서울 마포구,AI
나니아랩스,서울 강서구,AI
한국딥러닝,서울 서초구,AI
클레온,서울 중구,AI
바이브온코퍼레이션,서울 마포구,AI
씨드로닉스,서울 강남구,AI
시어스랩(Seerslab),서울 서초구,AI
